Testbed,E_M_E_hstar,E_M_E_hhat,Chat_avg,Chat_max
GG1,0.24276007154609,0.37087562203696994,1.7549569687779327,2.070324946842888
GG2,0.376362583967225,0.3908452377916,1.3462530605690168,1.5107547423022623
MM1,0.23818627047095497,0.29743839940504,3.406976107056814,5.62842534499608
MM2,0.39890161261754997,0.4710710894696375,2.341145111298058,2.711902249392834
