method,M,mean_selected_h,mean_gap_to_oracle,boundary_frequency,mean_f_hat,mean_min_D_hat
lepski,1000,0.40198484809839996,1.4883877891627104,0.0,0.170523527697028,0.0026100837664411484
lepski,1500,0.4247056274848,1.1050926780757717,0.0,0.1727809742326014,0.0027453547664901394
lepski,2000,0.4153858223314,1.2974915561703608,0.0,0.16978222147523225,0.0027666565133397684
lepski,3000,0.347132034356,1.2120255570681442,0.0,0.1763624847807368,0.0025807538774276703
lepski,4000,0.309099025767,1.3368978481065816,0.0,0.17019533891874733,0.0024621877535804136
lepski,6000,0.3158452377916,1.436427774488212,0.0,0.17573634716560152,0.002740728123840712
lepski,8000,0.3190622292026,1.4660561478493868,0.0,0.17210626434585619,0.0027803206669525615
oracle,1000,0.41409902576700003,1.0,0.0,0.16926652119550775,0.002620381719868419
oracle,1500,0.4916726188958,1.0,0.0,0.171293391438261,0.0028764118362389576
oracle,2000,0.4089518395094,1.0,0.0,0.1744044745088196,0.0025485103147240263
oracle,3000,0.41591883092039994,1.0,0.0,0.17328883361767636,0.0026845926304977256
oracle,4000,0.42652543263820003,1.0,0.0,0.1705024577993544,0.0028491893142475145
oracle,6000,0.3480419369327,1.0,0.0,0.17812461596370133,0.0026435373090891263
oracle,8000,0.3657716446628,1.0,0.0,0.17426294090185485,0.0026658319461342205
